FID,id,centroids
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e6,164164,POINT (12.57694354186557 55.69836454309235)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e5,40421,POINT (12.55827368849936 55.684018747712)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e4,164143,POINT (12.51963011494635 55.66412107962346)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e3,164059,POINT (12.58624441061158 55.67934601447539)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e2,164060,POINT (12.59465431249465 55.68008419911922)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e1,40345,POINT (12.57278502944821 55.6851535334534)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e0,39903,POINT (12.57513788815817 55.68108367283581)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43df,39727,POINT (12.57696460575436 55.67903520135986)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43de,40306,POINT (12.59067105611778 55.6794273506672)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43dd,163867,POINT (12.5951191328081 55.68595138635222)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43dc,2428,POINT (12.57675497184566 55.63370841568715)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43db,2233,POINT (12.51912430135811 55.64106329821835)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43da,39374,POINT (12.57505602379475 55.67648769441654)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d9,164122,POINT (12.5584678340225 55.68835588389765)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d8,164125,POINT (12.53992704321196 55.67057643005022)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d7,40177,POINT (12.587352953737 55.68014736193465)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d6,164159,POINT (12.55668194962541 55.68594430495451)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d5,39427,POINT (12.58402447575531 55.67551454565881)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d4,39428,POINT (12.58576825922225 55.67678091858389)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d3,41846,POINT (12.58698859204492 55.68786776829111)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d2,41756,POINT (12.58832175847983 55.68618438703542)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d1,41253,POINT (12.57836538072026 55.68293999499199)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43d0,163528,POINT (12.48550537102734 55.71390026422996)
